key,alt,answer
回家,"huíjiā (回家, 回家)",return home
獨立,"dúlì (獨立, 独立)",stand alone
英國,"yīngguó (英國, 英国)","Britain, Great_Britain, England, chapel, Great Britain, English, UK, reeve, John_Bull"
投資,"tóuzī (投資, 投资)",invest
理論,"lǐlùn (理論, 理论)",theory
面臨,"miànlín (面臨, 面临)","have, face, confront, envisage, flank, present, be faced with, be up against, bide, meet"
選手,"xuǎnshǒu (選手, 选手)","participant, basketeer, athlete selected for a sports meet, basketball player, jock, contestant, cap, cager, athlete, player, champ, performer, player selected as contestant"
分鐘,"fēnzhōng (分鐘, 分钟)",m.[standard]
內部,"nèibù (內部, 内部)","entrails, bowel, interior, inner, within, bosom, inside, innards, internal, inward"
西方,"xīfāng (西方, 西方)","the Occident, West, New World, occidental, westward, west, the West, the west, Hesperian, occident, Western, sunset, western hemisphere, western"
人家,"rénjiā (人家, 人家)","I used by females , dwelling, I, sb. else, sb. else's house, family, household"
準備,"zhǔnbèi (準備, 准备)","prepare, get ready"
眼睛,"yǎnjīng (眼睛, 眼睛)",eye
如,"rú (如, 如)","conj.: if, supposing"
眼,"yǎn (眼, 眼)","eye, small hole, aperture, salient/weighted point, salient/weighted point"
離開,"líkāi (離開, 离开)","leave, depart/deviate from"
競爭,"jìngzhēng (競爭, 竞争)",competition
專利,"zhuānlì (專利, 专利)",patent
成果,"chéngguǒ (成果, 成果)","product, achievement, outcome, gain, production, fruit, positive result, progeny, job"
活,"huó (活, 活)","alive, live, vivid, save sb.'s life , activate, save, be"
心情,"xīnqíng (心情, 心情)","cognitive state, cue, frame of mind, form, stomach, pulse, humor, feeling, temper, state of mind, cheer, humour, frame/state of mind, mood, vein, spirit, feelings, frame, frame_of_mind, habit of mind, mind, tune"
介紹,"jièshào (介紹, 介绍)","introduce, present, recommend, suggest, let know, brief"
現場,"xiànchǎng (現場, 现场)","scene of an incident , location, site, locale, scene of a crime, locality, live, scene, spot, field"
突然,"túrán (突然, 突然)","suddenly, presto, unexpectedly, abruptly, at once, all_at_once, all together, all of a sudden, all at once"
客戶,"kèhù (客戶, 客户)","clientage, custom, customer, client, business, patronage, clientele"
間,"jiān (間, 间)","locality, room"
印象,"yìnxiàng (印象, 印象)","effect, mark, impress, embossment, impressional, image, imprint, engram, sound, intuition, impression"
花,"huā (花, 花)","spend, expend, cost"
海,"hǎi (海, 海)","water, foam, bottom, main, huge group of people, Surname, sea catfish, the sea, sea, mare, drink, fishpond, briny, great capacity, Neptune, billow, huge group of things, depth, waters, pond, wave, brine, big lake"
真正,"zhēnzhèng (真正, 真正)","genuine, true, real"
保持,"bǎochí (保持, 保持)","keep, maintain, preserve"
時期,"shíqí (時期, 时期)","epoch, season, date, period_of_time, phase, day, occasion, estate, period, length, period of time , phase angle, stage, conjuncture, chapter, times, era, leg, guardianship"
層,"céng (層, 层)",m.[proximation]
方便,"fāngbiàn (方便, 方便)",convenient
幫助,"bāngzhù (幫助, 帮助)","aid, bridge_over, help, bestead, bring_on, tide_over, serve, support, facilitate, accommodate, carry_through, assist, administer, attend_to, assistance, befriend, further, favour"
基礎,"jīchǔ (基礎, 基础)","base, foundation"
