key,answer,alt,audio
ahora, now, “te necesito ahora”,adverbios/1.mp3
absolutamente / totalmente, absolutely/totally,,adverbios/2.mp3
actualmente, currently/nowadays,,adverbios/3.mp3
adelante, forward,,adverbios/4.mp3
además, also/in addition,,adverbios/5.mp3
ahí, there,,adverbios/6.mp3
allí, there / on there,,adverbios/7.mp3
algunos, a few, “unos minutos” a few minutes,adverbios/8.mp3
alrededor, around/about,,adverbios/9.mp3
anoche, last night,,adverbios/10.mp3
antes, before,,adverbios/11.mp3
anteriormente, previously,,adverbios/12.mp3
apenas, hardly,,adverbios/13.mp3
arriba, up,,adverbios/14.mp3
aquí, here,,adverbios/15.mp3
asi, like that / that way,,adverbios/16.mp3
atrás, back/behind,,adverbios/17.mp3
aún, even,,adverbios/18.mp3
ayer, yesterday,,adverbios/19.mp3
bastante, enough/a lot,,adverbios/20.mp3
bien, well,,adverbios/21.mp3
casi, almost,,adverbios/22.mp3
cerca, close/near,,adverbios/23.mp3
cómo, how, “como esta”,,adverbios/24.mp3
cuidadosamente, carefully,,adverbios/25.mp3
debajo, underneath/below,,adverbios/26.mp3
demasiado, too / too much,,adverbios/27.mp3
desafortunadamente, unfortunately,,adverbios/28.mp3
despacio, slowly, “hable más despacio por favor”,adverbios/29.mp3
después, after,,adverbios/30.mp3
donde, where,,adverbios/31.mp3
entonces, so, then,,adverbios/32.mp3
entretanto, meanwhile,,adverbios/33.mp3
exactamente, exactly,,adverbios/34.mp3
fácilamente, easily,,adverbios/35.mp3
frecuentemente, frequently,,adverbios/36.mp3
hoy, today,,adverbios/37.mp3
igualmente, likewise/equally,,adverbios/38.mp3
inmediatamente, immediately,,adverbios/39.mp3
jamás, never,,adverbios/40.mp3
lejos, far away,,adverbios/41.mp3
lentamente, slowly,,adverbios/42.mp3
luego, then/later,,adverbios/43.mp3
muy, very,,adverbios/44.mp3
naturalmente, naturally,,adverbios/45.mp3
necesariamente, necessarily,,adverbios/46.mp3
nuevamente, again/once again,,adverbios/47.mp3
nunca, never,,adverbios/48.mp3
ojalá, hopefully, arabic “may god will it”,adverbios/49.mp3
perfectamente, perfectly,,adverbios/50.mp3
poco, a little bit,,adverbios/51.mp3
por supuesto, of course,,adverbios/52.mp3
quizás, maybe/perhaps,,adverbios/53.mp3
realmente, really,,adverbios/54.mp3
recién, recently,,adverbios/55.mp3
seriamente, seriously,,adverbios/56.mp3
seguramente, surely,,adverbios/57.mp3
siempre, always,,adverbios/58.mp3
solamente, only,,adverbios/59.mp3
también, also/too,,adverbios/60.mp3
tampoco, neither/nor,,adverbios/61.mp3
tan, such, a / too / so,adverbios/62.mp3
tarde, late, “mas tarde” later,adverbios/63.mp3
tal vez, maybe,,adverbios/64.mp3
temprano, early,,adverbios/65.mp3
todavía, yet / still / still more,,adverbios/66.mp3
únicamente, only,,adverbios/67.mp3
urgente, urgent,,adverbios/68.mp3
ya, already/still/now,,adverbios/69.mp3
