key,answer,alt,audio_prompt
abierto, open,,adjetivos/1.mp3
aburrido, boring,,adjetivos/2.mp3
ácido, sour,,adjetivos/3.mp3
adecuado, appropriate/adequate,,adjetivos/4.mp3
alegre, happy,,adjetivos/5.mp3
alguno, any/some (pron. someone),,adjetivos/6.mp3
algún, one/some,,adjetivos/7.mp3
ambos, both,,adjetivos/8.mp3
amplio, spacious/wide,,adjetivos/9.mp3
antiguo, old/antiquity,,adjetivos/10.mp3
avanzado, advanced,,adjetivos/11.mp3
bajo, short/low,,adjetivos/12.mp3
barato, cheap,,adjetivos/13.mp3
básico, basic,,adjetivos/14.mp3
borracho, drunk, boring drunk roach throwing up,adjetivos/15.mp3
brillante, brilliant,,adjetivos/16.mp3
bueno/buen, good/fine, “buen” before masculine nouns,adjetivos/17.mp3
cada, each/every,,adjetivos/18.mp3
capaz, able,,adjetivos/19.mp3
cansado, tired, my can is sad,adjetivos/20.mp3
caro, expensive,,adjetivos/21.mp3
casado, married,,adjetivos/22.mp3
cierto, certain/some/sure/true,,adjetivos/23.mp3
claro, clear / “of course”,,adjetivos/24.mp3
clásico, classical,,adjetivos/25.mp3
común, common,,adjetivos/26.mp3
consciente, conscious/aware,,adjetivos/27.mp3
contenido, restrained/controlled,,adjetivos/28.mp3
corto, short,,adjetivos/29.mp3
cualquier, any,,adjetivos/30.mp3
cuanto, a few,,adjetivos/31.mp3
débil, weak, debilitated,adjetivos/32.mp3
delicioso, delicious,,adjetivos/33.mp3
derecho, right, m/f sustantivo... la derecha,adjetivos/34.mp3
dificil, difficult,,adjetivos/35.mp3
disponible, available,,adjetivos/36.mp3
dulce, sweet,,adjetivos/37.mp3
eficaz, effective,,adjetivos/38.mp3
eléctrico, electric,,adjetivos/39.mp3
elevado, high,,adjetivos/40.mp3
enamorado, in love,,adjetivos/41.mp3
encantadora, enchanting,,adjetivos/42.mp3
enfermo, ill/sick, infirm,adjetivos/43.mp3
enojado, angry,,adjetivos/44.mp3
equivocado, wrong,,adjetivos/45.mp3
escaso, scarce,,adjetivos/46.mp3
ese/esa, that, eso (that without a noun),adjetivos/47.mp3
especial, particular/special,,adjetivos/48.mp3
este/esta, this, esto (this without a noun),adjetivos/49.mp3
extraño, odd/strange,,adjetivos/50.mp3
famoso, famous,,adjetivos/51.mp3
feliz, happy,,adjetivos/52.mp3
femenino, feminine,,adjetivos/53.mp3
feo, ugly,,adjetivos/54.mp3
frio, cold, “tengo frio”,adjetivos/55.mp3
fuertes, strong,,adjetivos/56.mp3
furioso, furious,,adjetivos/57.mp3
grande, large/big/great,,adjetivos/58.mp3
hermoso, beautiful,,adjetivos/59.mp3
histórico, historical,,adjetivos/60.mp3
igual/iguales, equal/same,,adjetivos/61.mp3
increíble, incredible,,adjetivos/62.mp3
independiente, independent,,adjetivos/63.mp3
infantil, childish/infantile,,adjetivos/64.mp3
inmediato, immediately,,adjetivos/65.mp3
inmovil, motionless/stationary,,adjetivos/66.mp3
izquierdo, left / m/f sustantivo... la izquierda,adjetivos/67.mp3
joven, young (person),,adjetivos/68.mp3
junto, together/alongside,,adjetivos/69.mp3
justo, fair/right/just, “justo a tiempo” just in time,adjetivos/70.mp3
largo, long,,adjetivos/71.mp3
lento, slow,,adjetivos/72.mp3
libre, free,,adjetivos/73.mp3
limpio, clean,,adjetivos/74.mp3
listo/lista, ready/smart/clever,,adjetivos/75.mp3
lleno, full,,adjetivos/76.mp3
lógico, logical,,adjetivos/77.mp3
más o menos, more or less,,adjetivos/78.mp3
máxima, maximum,,adjetivos/79.mp3
mejor, better,,adjetivos/80.mp3
menudo, small, “a menudo” often,adjetivos/81.mp3
mínimo, low,,adjetivos/82.mp3
mismo, same/self, “yo mismo” myself,adjetivos/83.mp3
mucho, very much,,adjetivos/84.mp3
muchisimo, very much / a lot,,adjetivos/85.mp3
mundial, worldwide,,adjetivos/86.mp3
niño, child,,adjetivos/87.mp3
numeroso, numerous/many,,adjetivos/88.mp3
nuestro, our,,adjetivos/89.mp3
nuevo, new, nueva york!,adjetivos/90.mp3
oscuro, dark,,adjetivos/91.mp3
ostro, other/another,,adjetivos/92.mp3
otro, other/another, “otra vez” again / lit.”another time”,adjetivos/93.mp3
pasado, past, “pasado un año”,adjetivos/94.mp3
peor, worst,,adjetivos/95.mp3
pequeño, small/little,,adjetivos/96.mp3
pendiente, pending/awaiting,,adjetivos/97.mp3
perdido, lost,,adjetivos/98.mp3
perfecto, perfect,,adjetivos/99.mp3
plano, flat,,adjetivos/100.mp3
pobre, poor,,adjetivos/101.mp3
poco, not much,,adjetivos/102.mp3
precavido, cautious/prudent,,adjetivos/103.mp3
precioso, beautiful/precious,,adjetivos/104.mp3
previo, previous,,adjetivos/105.mp3
primero, first,,adjetivos/106.mp3
privado, private,,adjetivos/107.mp3
profundo, profound/deep, el agua no es profunda,adjetivos/108.mp3
propio, own, mis propias niñas,adjetivos/109.mp3
pronto, soon,,adjetivos/110.mp3
próxima, next/close, “la próxima vez” the next time,adjetivos/111.mp3
público, public,,adjetivos/112.mp3
