key,answer,alt,audio_prompt
ba. bàn. buôn. bướng.,father. table. wholesale. stubborn.,initial /b-/ sound,pronounce/84.mp3
mẹ. mai. minh. mương.,mother. roof. minh. drain.,initial /m-/ sound,pronounce/85.mp3
pha. phía. phần. phong.,phase. side. part. room.,initial /f-/ sound,pronounce/86.mp3
và. vui. vắng. vênh.,and. fun. absent. buckled.,initial /v-/ sound,pronounce/87.mp3
tin. tên. tôi. tỉnh.,believe. Name. me. provincial.,initial /t-/ sound (no aspiration),pronounce/88.mp3
thi. thêm. thương. thắng.,exam. more. love. win.,initial /t'-/ sound (aspiration),pronounce/89.mp3
đi. đến. đẹp. Đoàn.,go. come. pretty. Doan.,initial /d-/ sound,pronounce/90.mp3
nam. nằm. niêm. nặng.,male. located. sealed. heavy.,initial /n-/ sound,pronounce/91.mp3
dại. giả. giáo. giảng.,wild. fake. teacher. lecture,initial /z-/ sound (d or gi),pronounce/92.mp3
ra. rủi. rãi. rồng.,out. risk. cobble. dragon.,initial /ʐ-/ sound,pronounce/93.mp3
xa. xem. xắn. xong.,far. see. roll. accomplished.,initial /s-/ sound,pronounce/94.mp3
sen. sửa. soạn. sếp.,lotus. repair. composer. boss,initial /ʂ-/ sound,pronounce/95.mp3
cho. chanh. chở. chương.,for. lemon. carrying. chapter.,initial /ƫ-/ sound,pronounce/96.mp3
tre. trả. trường. trưa.,bamboo. pay. school noon,initial /tʂ-/ sound,pronounce/97.mp3
nhà. nhỏ. nhắn. nhường.,home. small. message. give away.,initial /ɲ-/ sound,pronounce/98.mp3
lớn. lành. lặn. linh.,great. heal. dive. spirit,initial /l-/ sound,pronounce/99.mp3
ca. con. cô. cơ.,ca. baby. she. muscle.,initial /k-/ sound (c),pronounce/100.mp3
ký. ken. kẻng. kê.,sign. ken. keng. listed.,initial /k-/ sound (k before front vowels),pronounce/101.mp3
que. quả. quang. quanh.,sticks. fruit. optical. around.,initial /k-/ sound (q before /-w-/),pronounce/102.mp3
khó. khi. khang. không.,difficult. at. .. not.,initial /x-/ sound,pronounce/103.mp3
nga. ngăn. ngon. ngu.,Russia. compartment. tasty. sleep.,initial /ŋ-/ sound,pronounce/104.mp3
nghi. nghe. nghê.,suspected. listen. Nghe.,initial /ŋ-/ sound (ngh before front vowels),pronounce/105.mp3
ga. gặng. gõ. gừng.,station. strong. type. ginger.,initial /ɣ-/ sound,pronounce/106.mp3
ghi. ghen. ghế.,write down. jealous. chair.,initial /ɣ-/ sound (gh before front vowels),pronounce/107.mp3
hoa. hà. hẹn. hường.,flower. ha. appointment. good.,initial /h-/ sound,pronounce/108.mp3
chui. suy. thuở. xuân.,wipe. failure. childhood. spring.,libial /-w-/ sound (u before iy ê ơ â),pronounce/109.mp3
khóa. loãng. khỏe. xoăn.,lock up. wishy-washy. strong. curly.,libial /-w-/ sound (o before a e ă),pronounce/110.mp3
nhà. cam. mang.,home. oranges. bring.,central /-a:-/ sound,pronounce/111.mp3
xoong. moóc.,saucepan. trailer.,central /-ɔ:-/ sound (oo open mouth end),pronounce/112.mp3
xong. moc. lò. con.,accomplished. moc. oven. baby.,central /-ɔ:-/ sound,pronounce/113.mp3
ốc. hôn. không.,snails. kiss. not.,central /-o-/ sound,pronounce/114.mp3
ơn. mơ. cơm.,thank. apricot. rice.,central /-əː-/ sound,pronounce/115.mp3
em. bé. che.,you-I-younger. little. hide.,central /-ɛ-/ sound,pronounce/116.mp3
êm. lên. chênh.,smooth. up. difference.,central /-e-/ sound,pronounce/117.mp3
lùn. cùn. tung.,dwarf. blunt. toss.,central /-u-/ sound,pronounce/118.mp3
ưng. từ. nhưng.,.. from. but.,central /-ɯ-/ sound,pronounce/119.mp3
thi. tin. xinh.,verse. believe. agreeable.,central /-i-/ sound,pronounce/120.mp3
y học. huy. tuy.,medicine. emblem. though.,central /-i-/ sound (y after /w/ or standalone),pronounce/121.mp3
sau. máy. quay.,after. machine. spin.,central /-ă-/ sound (a when final /-w/ or /-y/),pronounce/122.mp3
ăn. cắn. đắng.,eat. bite. bitter.,central /-ă-/ sound (ă before final consonant),pronounce/123.mp3
lấy. ân. tân.,pick. eat. new.,central /-ə-/ sound,pronounce/124.mp3
móc. tóc. cong.,hook. hair. curvy.,central /-ɔ-/ sound,pronounce/125.mp3
cách. nhanh. cánh.,way. fast. wing.,central /-a-/ sound,pronounce/126.mp3
yếu. uyển. tuyết.,weak. flexible. snow.,central /-ie-/ sound (yê when no initial or after /w/),pronounce/127.mp3
tiền. kiện. miếng.,money. to sue. pieces.,central /-ie-/ sound (iê in between initial and final),pronounce/128.mp3
khuya. xuya. tuya.,late. .. ..,central /-ie-/ sound (ya after /w/ and no final),pronounce/129.mp3
bia. kia. tỉa.,beer. that. trim.,central /-ie-/ sound (ia no final consonants),pronounce/130.mp3
sưởi. ương. ươp.,heating. nursing. well.,central /-ɯə-/ sound (ươ before final),pronounce/131.mp3
ưa. cứa. chữa. nửa.,love. shit. cure. half.,central /-ɯə-/ sound (ưa no final),pronounce/132.mp3
uốn. chuối. muốn. xuống.,curling. banana. want. down.,central /-uo-/ sound (uô before final),pronounce/133.mp3
mua. thua. lúa.,buying. lost. paddy.,central /-uo-/ sound (ua no final),pronounce/134.mp3
nam. làm. xem.,male. do. see.,final /-m/ sound,pronounce/135.mp3
nên. toàn. tràn.,Candlestick. all. to spill.,final /-n/ sound,pronounce/136.mp3
kính. chênh. canh.,glasses. difference. soup.,final /-ŋ/ sound (nh after i ê a),pronounce/137.mp3
ngang. lăng. sương.,traverse. shrine. dew.,final /-ŋ/ sound,pronounce/138.mp3
lớp. sụp. ướp.,Class. collapse. marinated.,final /-p/ sound,pronounce/139.mp3
sát. triệt. khiết.,close. thoroughly. pure.,final /-t/ sound,pronounce/140.mp3
ích. xếch. sạch.,useful. slanted. clean.,final /-k/ sound (ch after i ê a),pronounce/141.mp3
sắc. khóc. múc.,sharp. cry. scoop.,final /-k/ sound,pronounce/142.mp3
táo. kéo. xéo.,apple. drag. sidelong.,final /-w/ sound (o after a e),pronounce/143.mp3
mau. nếu. rượu.,quickly. if. alcohol.,final /-w/ sound,pronounce/144.mp3
máy. tay. phẩy. ,machine. hand. comma.,final /-i/ sound (y after a â),pronounce/145.mp3
xoài. tươi. chuôi.,mango. fresh. gripe.,final /-i/ sound,pronounce/146.mp3
