key,answer,alt,audio
我喜歡繁體字,I like traditional characters,wǒ xǐhuān fántǐ zì,simple/1.mp3
我不喜歡簡體字,I do not like simplified characters,wǒ bù xǐhuān jiǎntǐzì,simple/2.mp3
我覺得繁體字比簡體字漂亮,I think traditional is more beautiful,wǒ juédé fántǐ zì bǐ jiǎntǐzì piàoliang,simple/3.mp3
例如：「蘭」簡化為「兰」,For example: orchid,Lìrú: Lán jiǎnhuà wéi lán,simple/4.mp3
我是指蘭花的蘭,I mean the Lan in orchid,Wǒ shì zhǐ lánhuā de lán,simple/5.mp3
在幹嘛？,What are you doing?,zài gàn ma?,simple/6.mp3
或許吧,Probably,Huòxǔ ba,simple/7.mp3
我很懶惰,I am lazy,Wǒ hěn lǎnduò,simple/8.mp3
放鬆,relax,Fàngsōng,simple/9.mp3
讓我們放鬆一下,Let's relax for awhile,Ràng wǒmen fàngsōng yīxià,simple/10.mp3
我們今天去放鬆,We are going to relax today,Wǒmen jīntiān qù fàngsōng,simple/11.mp3
曬太陽,sunbathe,Shài tàiyáng,simple/12.mp3
