key,answer,alt,audio
你最近還好嗎?,How are you getting along?,Nǐ zuìjìn hái hǎo ma?,01 how are you getting along.mp3
你感覺怎麽樣?,How do you feel?,nǐ gǎnjué zěnme yàng?,,01 how do you feel.mp3
你為什麼來這裡?,why are you here?,nǐ wèishéme lái zhèlǐ,01 why are you here.mp3
關你屁事,not your business,Guān nǐ pì shì,01 not your business.mp3
我喜歡旅行,I like to travel,Wǒ xǐhuan lǚxíng,01 I like to travel.mp3
我愛這裡,I love it here,Wǒ ài zhèlǐ,01 I love it here.mp3
這裡很美,it's beautiful here,Zhèlǐ hěn měi,01 it is beautiful here.mp3
你去過哪裡?,where have you been?,Nǐ qùguò nǎlǐ?,01 where have you been.mp3
你是做甚麼的?,what is your job?,Nǐ shì zuò shénme de?,01 what is your job.mp3
這是你第一次來這裡嗎?,is this your first time here?,Zhè shì nǐ dì yī cì lái zhèlǐ ma?,01 is this your first time here.mp3
你幾歲?,how old are you?,Nǐ jǐ suì?,01 how old are you.mp3
你的工作是甚麼?,what is your job?,Nǐ de gōngzuò shì shénme?,01 your is what.mp3
你想要吃甚麼?,what do you want to eat?,Nǐ xiǎng yào chī shénme?,01 what do you want to eat.mp3
你的興趣是甚麼?,what do you like to do?,Nǐ de xìngqù shì shénme?,01 what do you like to do.mp3
我在放長假,I'm having a long vacation,Wǒ zài fàng chángjià,01 having long vacation.mp3
你沒事都在幹嘛?,what do you do in your free time?,Nǐ méishì dōu zài gàn ma?,01 what do you do in your free time.mp3
你很忙嗎?,Are you busy?,Nǐ hěn máng ma?,are you busy.mp3
對我很忙,Yes I am busy,Duì wǒ hěn máng,01 yes I am busy.mp3
你去哪裡,where are you going?,Nǐ qù nǎlǐ?,01 where are you going.mp3
我去學校,I'm going to school,Wǒ qù xuéxiào,01 I go to school.mp3
你累嗎？,Are you tired?,Nǐ lèi ma?,01 are you tired.mp3
我很累,I'm very tired,Wǒ hěn lèi,01 I'm very tired.mp3
你好 你叫什麼名字？,Hello what is your name?,Nǐ hǎo nǐ jiào shénme míngzì?,01 what is your name.mp3
我叫李麗你呢?,My name is Li li and you?,Wǒ jiào lǐ lì nǐ ne?,01 my name is li li.mp3
