key,answer,alt,audio_prompt
el abrigo, coat,,sustantivos/1.mp3
la academia, academy,,sustantivos/2.mp3
el acceso, access,,sustantivos/3.mp3
la acción, action,,sustantivos/4.mp3
el aceite, oil,,sustantivos/5.mp3
la actividad, activity,,sustantivos/6.mp3
la alegría, happiness/joy,,sustantivos/7.mp3
el almuerzo, lunch,,sustantivos/8.mp3
la altura, height,,sustantivos/9.mp3
la amistad, friendship,,sustantivos/10.mp3
el amor, love,,sustantivos/11.mp3
el año, year,,sustantivos/12.mp3
la aplicación, use/application,,sustantivos/13.mp3
el ascensor, elevator/lift,,sustantivos/14.mp3
la araña, spider / arachnid,,sustantivos/15.mp3
el arma, weapon,,sustantivos/16.mp3
el aspecto, aspect/look,,sustantivos/17.mp3
el asunto, issue/affair/matter,,sustantivos/18.mp3
el aula, classroom,,sustantivos/19.mp3
el aumento, increase,,sustantivos/20.mp3
la ausencia, absence,,sustantivos/21.mp3
la ayuda, help,,sustantivos/22.mp3
al azar, chance/fate,,sustantivos/23.mp3
el azúcar, sugar,,sustantivos/24.mp3
la bandara, flag,,sustantivos/25.mp3
el bar, bar,,sustantivos/26.mp3
el barco, ship,,sustantivos/27.mp3
la beatitud, bliss,,sustantivos/28.mp3
el boligrafo, pen,,sustantivos/29.mp3
la bolsa, handbag,,sustantivos/30.mp3
la botas, boots,,sustantivos/31.mp3
la búsqueda, search, buscar + querer + da,sustantivos/32.mp3
el caballero, rider/gentleman,,sustantivos/33.mp3
el caballo, horse,,sustantivos/34.mp3
la cadena, chain,,sustantivos/35.mp3
el calor, heat,,sustantivos/36.mp3
la caja, box/cashier,,sustantivos/37.mp3
el calcetines, socks,,sustantivos/38.mp3
la cama, bed,,sustantivos/39.mp3
el cambio, change,,sustantivos/40.mp3
el camino, road/track/path,,sustantivos/41.mp3
la camisa, shirt,,sustantivos/42.mp3
la campana, bell,,sustantivos/43.mp3
el campesino, farmer/peasant/rural,,sustantivos/44.mp3
el cangrejo, crab,,sustantivos/45.mp3
la capacidad, capacity,,sustantivos/46.mp3
el capítulo, chapter,,sustantivos/47.mp3
el carácter, character,,sustantivos/48.mp3
la cárcel, jail,,sustantivos/49.mp3
la carne, meat,,sustantivos/50.mp3
la carretera, road,,sustantivos/51.mp3
la carta, letter,,sustantivos/52.mp3
la casa, house,,sustantivos/53.mp3
la cebolla, onion,,sustantivos/54.mp3
la cena, dinner, cena y cine,sustantivos/55.mp3
el centro, center,,sustantivos/56.mp3
el cerdo, pig,,sustantivos/57.mp3
el cine, cinema,,sustantivos/58.mp3
el cinturón, belt,,sustantivos/59.mp3
la circunstancia, circumstance,,sustantivos/60.mp3
la cita, appointment,,sustantivos/61.mp3
la ciudad, city,,sustantivos/62.mp3
la clase, school/class/lesson,,sustantivos/63.mp3
el clima, climate,,sustantivos/64.mp3
el coche/carro, car,,sustantivos/65.mp3
el código, code,,sustantivos/66.mp3
el colegio, school,,sustantivos/67.mp3
la comida, food,,sustantivos/68.mp3
el compañero, partner/companion,,sustantivos/69.mp3
la competencia, competition,,sustantivos/70.mp3
la costumbre, habit/custom,,sustantivos/71.mp3
el conejo, rabbit,,sustantivos/72.mp3
el conocimiento, knowledge,,sustantivos/73.mp3
el consejo, advice,,sustantivos/74.mp3
la construcción, construction,,sustantivos/75.mp3
el contenido, content/self-controlled,,sustantivos/76.mp3
el control, control,,sustantivos/77.mp3
la corbata, tie,,sustantivos/78.mp3
la cosa, thing,,sustantivos/79.mp3
la costa, shore/coast,,sustantivos/80.mp3
la creación, creation,,sustantivos/81.mp3
el crecimiento, growth,,sustantivos/82.mp3
la cualidad, quality,,sustantivos/83.mp3
el cuento, story (para niños),,sustantivos/84.mp3
el cuerpo, body,,sustantivos/85.mp3
la cuesta, cost,,sustantivos/86.mp3
el cuidado, care,,sustantivos/87.mp3
la culpa, fault/blame,,sustantivos/88.mp3
el curso, course/year,,sustantivos/89.mp3
el deseo, wish/desire,,sustantivos/90.mp3
el dia, day,,sustantivos/91.mp3
la dicha, joy,,sustantivos/92.mp3
la dirección, direction,,sustantivos/93.mp3
la discusión, discussion,,sustantivos/94.mp3
la distancia, distance,,sustantivos/95.mp3
la diversión, fun / diversion,,sustantivos/96.mp3
la diosa, god/goddess, el dios,sustantivos/97.mp3
el dolor, pain,,sustantivos/98.mp3
el dueño, owner,,sustantivos/99.mp3
la edad, age,,sustantivos/100.mp3
el edificio, building,,sustantivos/101.mp3
la educación, education,,sustantivos/102.mp3
el efecto, effect,,sustantivos/103.mp3
el ejemplo, example,,sustantivos/104.mp3
el ejercicio, exercise,,sustantivos/105.mp3
la elección, choice,,sustantivos/106.mp3
el emparedado, sandwich, spain!,sustantivos/107.mp3
la entrada, entrance,,sustantivos/108.mp3
el entrenamiento, training,,sustantivos/109.mp3
el equipo, team,,sustantivos/110.mp3
la escena, scene/stage,,sustantivos/111.mp3
la escuela, school,,sustantivos/112.mp3
la esquina, corner,,sustantivos/113.mp3
la espalda, back,,sustantivos/114.mp3
el espejo, mirror,,sustantivos/115.mp3
el este, east,,sustantivos/116.mp3
el estudio, study/studio (apartment),,sustantivos/117.mp3
el éxito, success,,sustantivos/118.mp3
la explicación, explanation, make explicit,sustantivos/119.mp3
la expresión, expression,,sustantivos/120.mp3
la facultad, faculty,,sustantivos/121.mp3
la falda, skirt,,sustantivos/122.mp3
la felicidad, happiness,,sustantivos/123.mp3
el festival, festival,,sustantivos/124.mp3
el fin, end,,sustantivos/125.mp3
la foto, photo,,sustantivos/126.mp3
la frecuencia, frequency,,sustantivos/127.mp3
la frontera, border/frontier,,sustantivos/128.mp3
la fuenta, source/font/fountains,,sustantivos/129.mp3
las fresas, strawberries,,sustantivos/130.mp3
la gafas, glasses,,sustantivos/131.mp3
el gato, cat,,sustantivos/132.mp3
el genio, genius,,sustantivos/133.mp3
la gente, people,,sustantivos/134.mp3
la gentileza, gentleness, “Gracias por su gentileza” that’s nice of you,sustantivos/135.mp3
el grado, degree,,sustantivos/136.mp3
el granjero, farmer, la granjera,sustantivos/137.mp3
el grupo, group,,sustantivos/138.mp3
la habilidad, skill/ability,,sustantivos/139.mp3
la hacienda, ranch/estate,,sustantivos/140.mp3
la hambre, hunger,,sustantivos/141.mp3
la historia, history,,sustantivos/142.mp3
el hogar, home,,sustantivos/143.mp3
el hombre, man,,sustantivos/144.mp3
la humanidad, humanity/humanities,,sustantivos/145.mp3
el idioma, language,,sustantivos/146.mp3
la imagen, image,,sustantivos/147.mp3
la importancia, importance,,sustantivos/148.mp3
el ingeniero, engineer,,sustantivos/149.mp3
la inteligencia, intelligence,,sustantivos/150.mp3
la intención, intention,,sustantivos/151.mp3
la investigación, investigation,,sustantivos/152.mp3
el jefe, boss/chief/father, la jefa,sustantivos/153.mp3
el juego, play,,sustantivos/154.mp3
el juez, judge, la jueza,sustantivos/155.mp3
el juicio, judgement/reason/trial,,sustantivos/156.mp3
el kilómetro, kilometer,,sustantivos/157.mp3
el lado, side,,sustantivos/158.mp3
el lápiz, pencil,,sustantivos/159.mp3
el lavadero, laundry,,sustantivos/160.mp3
la lavandería, laundry,,sustantivos/161.mp3
la lectura, reading,,sustantivos/162.mp3
la lengua, language/tongue,,sustantivos/163.mp3
la libertad, freedom,,sustantivos/164.mp3
el libro, book, library,sustantivos/165.mp3
la llave, key,,sustantivos/166.mp3
la llegada, arrival,,sustantivos/167.mp3
el lugar, place,,sustantivos/168.mp3
la luz/luces, light/lights, lucid,sustantivos/169.mp3
el magico, magic (magia f),,sustantivos/170.mp3
la maleta, suitcase,,sustantivos/171.mp3
la mañana, tomorrow,,sustantivos/172.mp3
la manguera, hose,,sustantivos/173.mp3
la mano, hand,,sustantivos/174.mp3
el mapa, map,,sustantivos/175.mp3
la máquina, machine,,sustantivos/176.mp3
el marido, husband,,sustantivos/177.mp3
el material, material,,sustantivos/178.mp3
la mayoría, majority,,sustantivos/179.mp3
la memoria, memory,,sustantivos/180.mp3
el mensaje, message,,sustantivos/181.mp3
la mente, mind,,sustantivos/182.mp3
el mes, month,,sustantivos/183.mp3
la mesa, table,,sustantivos/184.mp3
el miedo, fear,,sustantivos/185.mp3
la mirada, look,,sustantivos/186.mp3
la mitad, half,,sustantivos/187.mp3
la mochila, backpack,,sustantivos/188.mp3
el momentito, a little moment,,sustantivos/189.mp3
el mono, monkey,,sustantivos/190.mp3
la moto, motorcycle/bike,,sustantivos/191.mp3
el movimiento, movement,,sustantivos/192.mp3
la mujer, girl/woman,,sustantivos/193.mp3
el mundo, world, todo el mundo (all the world),sustantivos/194.mp3
la necesidad, necessity,,sustantivos/195.mp3
el nivel, level/height,,sustantivos/196.mp3
la noche, night / no light,,sustantivos/197.mp3
el norte, north,,sustantivos/198.mp3
el objetivo, objective,,sustantivos/199.mp3
la obra, work/deed,,sustantivos/200.mp3
la ocasión, occasion/opportunity,,sustantivos/201.mp3
el oeste, west,,sustantivos/202.mp3
el oficial, oficial,,sustantivos/203.mp3
el ojo, eye,,sustantivos/204.mp3
la oportunidad, opportunity,,sustantivos/205.mp3
la orientación, orientation,,sustantivos/206.mp3
el origen, origin,,sustantivos/207.mp3
el oso, bear,,sustantivos/208.mp3
el pájaro, bird,,sustantivos/209.mp3
el país, country,,sustantivos/210.mp3
las palabras, words,,sustantivos/211.mp3
la pantalla, screen,,sustantivos/212.mp3
el par, pair, un par de zapatos (a pair of shoes),sustantivos/213.mp3
la pared, wall,,sustantivos/214.mp3
la pareja, couple/pair,,sustantivos/215.mp3
la parte, part/portion,,sustantivos/216.mp3
el paso, pass/go by/step,,sustantivos/217.mp3
el pato, duck,,sustantivos/218.mp3
la patria, homeland,,sustantivos/219.mp3
