活到老學到老,live till old learn till old,Huó dào lǎo xué dào lǎo
這是什麼?,what is this?,zhè shì shénme
那是什麼?,what is that?,nà shì shénme
...的中文怎麼說?,how do you say ... in Chinese?,... de zhōngwén zěnme shuō
...用中文怎麼說?,how do you say ... in Chinese?,... yòng zhōngwén zěnme shuō
...的中文是什麼?,what is ... in Chinese?,... de zhōngwén shì shénme
...用中文是什麼?,what is ... in Chinese?,... yòng zhōngwén shì shénme
我想了解你,I want to understand you,Wǒ xiǎng liǎojiě nǐ
那是什麼意思？,what does that mean?,Nà shì shénme yìsi?
你能說慢點嗎？,can you say it slower?,Nǐ néng shuō màn diǎn ma?
那是誰？,who is that?,Nà shì shuí?
他們是誰？,who are they?,Tāmen shì shuí?
會發生什麼？,what will happen?,Huì fāshēng shénme?
接下來會發生什麼？,what will happen next?,Jiē xiàlái huì fāshēng shénme?
剛剛發生了什麼?,what just happened?,Gānggāng fāshēngle shénme
那是什麼時候？,when was that?,Nà shì shénme shíhòu?
那會是什麼時候？,when will that be?,Nà huì shì shénme shíhòu?
哪裡是？,where is that?,Nǎlǐ shì?
他們要去哪？,where are they going?,Tāmen yào qù nǎ?
你在哪裡找到這個？,where did you find this?,Nǐ zài nǎlǐ zhǎodào zhège?
這個怎麼用？,how does this work?,Zhège zěnme yòng?
怎麼做,how to do it,Zěnme zuò
你最喜歡什麼顏色？,what is your favorite color?,Nǐ zuì xǐhuān shénme yánsè？
你最喜歡的音樂是什麼？,what is your favorite music?,Nǐ zuì xǐhuān de yīnyuè shì shénme?
哪一個更好？,which one is better?,Nǎ yīgè gèng hǎo?
